participant_id,condition_id
S2-P0001,s2_control
S2-P0002,s2_interactive_ai
S2-P0003,s2_static_ai
S2-P0004,s2_control
S2-P0005,s2_static_ai
S2-P0006,s2_interactive_ai
S2-P0007,s2_interactive_ai
S2-P0008,s2_interactive_ai
S2-P0009,s2_static_ai
S2-P0010,s2_static_ai
S2-P0011,s2_control
S2-P0012,s2_control
S2-P0013,s2_static_ai
S2-P0014,s2_control
S2-P0015,s2_static_ai
S2-P0016,s2_control
S2-P0017,s2_interactive_ai
S2-P0018,s2_interactive_ai
S2-P0019,s2_control
S2-P0020,s2_interactive_ai
S2-P0021,s2_static_ai
S2-P0022,s2_control
S2-P0023,s2_static_ai
S2-P0024,s2_interactive_ai
S2-P0025,s2_interactive_ai
S2-P0026,s2_control
S2-P0027,s2_static_ai
S2-P0028,s2_interactive_ai
S2-P0029,s2_static_ai
S2-P0030,s2_control
S2-P0031,s2_interactive_ai
S2-P0032,s2_interactive_ai
S2-P0033,s2_control
S2-P0034,s2_static_ai
S2-P0035,s2_control
S2-P0036,s2_static_ai
S2-P0037,s2_static_ai
S2-P0038,s2_interactive_ai
S2-P0039,s2_control
S2-P0040,s2_interactive_ai
S2-P0041,s2_static_ai
S2-P0042,s2_control
S2-P0043,s2_interactive_ai
S2-P0044,s2_control
S2-P0045,s2_control
S2-P0046,s2_interactive_ai
S2-P0047,s2_static_ai
S2-P0048,s2_static_ai
S2-P0049,s2_control
S2-P0050,s2_static_ai
S2-P0051,s2_interactive_ai
S2-P0052,s2_control
S2-P0053,s2_static_ai
S2-P0054,s2_interactive_ai
S2-P0055,s2_static_ai
S2-P0056,s2_interactive_ai
S2-P0057,s2_control
S2-P0058,s2_control
S2-P0059,s2_static_ai
S2-P0060,s2_interactive_ai
S2-P0061,s2_interactive_ai
S2-P0062,s2_static_ai
S2-P0063,s2_interactive_ai
S2-P0064,s2_static_ai
S2-P0065,s2_control
S2-P0066,s2_control
S2-P0067,s2_interactive_ai
S2-P0068,s2_interactive_ai
S2-P0069,s2_static_ai
S2-P0070,s2_control
S2-P0071,s2_control
S2-P0072,s2_static_ai
S2-P0073,s2_static_ai
S2-P0074,s2_static_ai
S2-P0075,s2_interactive_ai
S2-P0076,s2_control
S2-P0077,s2_interactive_ai
S2-P0078,s2_control
S2-P0079,s2_static_ai
S2-P0080,s2_interactive_ai
S2-P0081,s2_interactive_ai
S2-P0082,s2_static_ai
S2-P0083,s2_control
S2-P0084,s2_control
S2-P0085,s2_control
S2-P0086,s2_control
S2-P0087,s2_static_ai
S2-P0088,s2_interactive_ai
S2-P0089,s2_interactive_ai
S2-P0090,s2_static_ai
S2-P0091,s2_interactive_ai
S2-P0092,s2_interactive_ai
S2-P0093,s2_control
S2-P0094,s2_static_ai
S2-P0095,s2_static_ai
S2-P0096,s2_control
S2-P0097,s2_interactive_ai
S2-P0098,s2_control
S2-P0099,s2_interactive_ai
S2-P0100,s2_static_ai
S2-P0101,s2_static_ai
S2-P0102,s2_control
S2-P0103,s2_control
S2-P0104,s2_static_ai
S2-P0105,s2_interactive_ai
S2-P0106,s2_control
S2-P0107,s2_static_ai
S2-P0108,s2_interactive_ai
S2-P0109,s2_interactive_ai
S2-P0110,s2_control
S2-P0111,s2_static_ai
S2-P0112,s2_static_ai
S2-P0113,s2_control
S2-P0114,s2_interactive_ai
S2-P0115,s2_interactive_ai
S2-P0116,s2_control
S2-P0117,s2_static_ai
S2-P0118,s2_control
S2-P0119,s2_interactive_ai
S2-P0120,s2_static_ai
S2-P0121,s2_static_ai
S2-P0122,s2_interactive_ai
S2-P0123,s2_interactive_ai
S2-P0124,s2_control
S2-P0125,s2_control
S2-P0126,s2_static_ai
S2-P0127,s2_control
S2-P0128,s2_interactive_ai
S2-P0129,s2_interactive_ai
S2-P0130,s2_static_ai
S2-P0131,s2_control
S2-P0132,s2_static_ai
S2-P0133,s2_static_ai
S2-P0134,s2_interactive_ai
S2-P0135,s2_interactive_ai
S2-P0136,s2_static_ai
S2-P0137,s2_control
S2-P0138,s2_control
S2-P0139,s2_control
S2-P0140,s2_interactive_ai
S2-P0141,s2_static_ai
S2-P0142,s2_interactive_ai
S2-P0143,s2_control
S2-P0144,s2_static_ai
S2-P0145,s2_control
S2-P0146,s2_interactive_ai
